Data,Open,High,Low,Close,Volume
2026-2-20,17,17.30,16.50,17.29,3.67
2026-2-21,18,18.30,17.50,18.29,4.84
2026-2-25,17.10,17.20,16.91,17.10,3.84
2026-2-26,17.20,17.50,16.80,17.40,4.12
2026-2-27,17.50,17.80,17.20,17.70,4.56
2026-2-28,17.80,18.00,17.50,17.90,4.23
2026-3-1,18.00,18.30,17.80,18.20,4.78
2026-3-2,18.30,18.50,18.00,18.40,4.56
2026-3-3,18.50,18.80,18.20,18.70,4.89
2026-3-4,18.80,19.00,18.50,18.90,4.34
2026-3-5,19.00,19.30,18.80,19.20,4.67
2026-3-6,19.30,19.50,19.00,19.40,4.56
2026-3-7,19.50,19.80,19.20,19.70,4.89
2026-3-8,19.80,20.00,19.50,19.90,4.34
2026-3-9,20.00,20.30,19.80,20.20,4.67
2026-3-10,20.30,20.50,20.00,20.40,4.56
2026-3-11,20.50,20.80,20.20,20.70,4.89
2026-3-12,20.80,21.00,20.50,20.90,4.34
2026-3-13,21.00,21.30,20.80,21.20,4.67
2026-3-14,21.30,21.50,21.00,21.40,4.56
